,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,latitude,longitude,Zipcode
488,100108590,3/30/10,3/29/10,1400,1,Central,185,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,OLYMPIC,HILL,"(34.0416, -118.2584)",34.0416,-118.2584,90014
489,100108592,3/30/10,3/29/10,2200,1,Central,105,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400    SOLANO                       AV,,"(34.071, -118.2302)",34.071,-118.2302,90012
490,100108593,3/30/10,3/27/10,2300,1,Central,128,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,39,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,JUDGE JOHN ALISO,TEMPLE                       ST,"(34.0498, -118.24)",34.0498,-118.24,90013
491,100108595,3/30/10,3/18/10,1800,1,Central,122,946,OTHER MISCELLANEOUS CRIME,1501,0,M,H,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,946.0,,,,500 W  TEMPLE                       ST,,"(34.0573, -118.2455)",34.0573,-118.2455,90012
492,100108602,3/30/10,3/29/10,1800,1,Central,157,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,20,M,B,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442,-118.2439,90013
493,100108607,3/30/10,3/30/10,1210,1,Central,128,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,27,M,O,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,100    JAPANESE VILLAGE PLAZA,,"(34.0494, -118.2395)",34.0494,-118.2395,90013
494,100108614,3/30/10,3/30/10,700,1,Central,166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,33,M,O,710.0,OTHER PREMISE,,,AA,Adult Arrest,341.0,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)",34.0423,-118.2452,90013
495,100108617,3/30/10,3/30/10,715,1,Central,152,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,30,M,O,727.0,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341.0,,,,500 S  FLOWER                       ST,,"(34.0516, -118.2561)",34.0516,-118.2561,90071
496,100108621,3/30/10,3/29/10,1610,1,Central,122,624,BATTERY - SIMPLE ASSAULT,400,43,M,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,100 N  HILL                         ST,,"(34.0544, -118.2466)",34.0544,-118.2466,90071
497,100108622,3/30/10,3/25/10,1000,1,Central,154,354,THEFT OF IDENTITY,377,33,F,O,602.0,BANK,,,IC,Invest Cont,354.0,,,,8TH,CENTRAL,"(34.0332, -118.2428)",34.0332,-118.2428,90021
498,100108641,3/31/10,3/31/10,1030,1,Central,153,210,ROBBERY,344,0,M,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)",34.0474,-118.2496,90014
499,100108643,3/31/10,3/30/10,2230,1,Central,155,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",416,46,F,W,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,LOS ANGELES                  ST,5TH                          ST,"(34.0461, -118.2476)",34.0461,-118.2476,90013
500,100108649,3/31/10,3/31/10,1215,1,Central,185,210,ROBBERY,0344 0416 0601,25,M,H,405.0,CLOTHING STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,1100 S  LOS ANGELES                  ST,,"(34.0384, -118.2571)",34.0384,-118.2571,90014
501,100108657,3/31/10,3/31/10,1440,1,Central,155,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,101.0,STREET,,,IC,Invest Cont,946.0,998.0,,,500 S  LOS ANGELES                  ST,,"(34.0461, -118.2476)",34.0461,-118.2476,90013
502,100108659,3/31/10,3/31/10,1835,1,Central,192,510,VEHICLE - STOLEN,,0,,,208.0,AUTO SALES LOT,,,IC,Invest Cont,510.0,,,,1600 S  FIGUEROA                     ST,,"(34.0375, -118.27)",34.0375,-118.27,90015
503,100108665,3/31/10,3/31/10,1215,1,Central,111,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0917,55,F,A,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,600 W  COLLEGE                      ST,,"(34.0649, -118.2399)",34.0649,-118.2399,90012
504,100108673,3/31/10,3/30/10,2300,1,Central,192,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1600 S  FIGUEROA                     ST,,"(34.0375, -118.27)",34.0375,-118.27,90015
505,100108681,3/31/10,3/16/10,1700,1,Central,162,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),344,23,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,331.0,,,,9TH,FIGUEROA,"(34.0462, -118.2628)",34.0462,-118.2628,90017
506,100108682,4/1/10,4/1/10,5,1,Central,164,251,SHOTS FIRED AT INHABITED DWELLING,1100,0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,251.0,,,,600 S  MAIN                         ST,,"(34.0453, -118.2499)",34.0453,-118.2499,90014
507,100108692,4/1/10,3/29/10,1200,1,Central,192,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1400 S  GRAND                        AV,,"(34.0372, -118.2654)",34.0372,-118.2654,90015
508,100108699,4/1/10,3/15/10,800,1,Central,181,510,VEHICLE - STOLEN,,0,,,710.0,OTHER PREMISE,,,IC,Invest Cont,510.0,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)",34.0423,-118.2666,90015
509,100108723,4/1/10,3/31/10,1900,1,Central,133,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,34,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341.0,,,,300 W  2ND                          ST,,"(34.0524, -118.2467)",34.0524,-118.2467,90071
510,100108742,4/1/10,4/1/10,1720,1,Central,152,440,THEFT PLAIN - PETTY ($950 & UNDER),344,0,M,H,738.0,LIBRARY,,,AA,Adult Arrest,440.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
511,100108745,4/2/10,4/1/10,2020,1,Central,181,946,OTHER MISCELLANEOUS CRIME,1501,0,M,O,741.0,STAPLES CENTER *,,,IC,Invest Cont,946.0,,,,11TH,FIGUEROA,"(34.0442, -118.268)",34.0442,-118.268,90015
512,100108751,4/2/10,4/1/10,2230,1,Central,155,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,33,F,H,102.0,SIDEWALK,,,IC,Invest Cont,930.0,,,,SAN PEDRO                    ST,6TH                          ST,"(34.0423, -118.2452)",34.0423,-118.2452,90013
513,100108769,4/2/10,3/31/10,1200,1,Central,152,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601 1606,23,M,O,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,600 S  HILL                         ST,,"(34.0474, -118.2531)",34.0474,-118.2531,90014
514,100108804,4/2/10,4/2/10,730,1,Central,161,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1307 1609,30,M,A,102.0,SIDEWALK,,,IC,Invest Cont,745.0,,,,900 W  8TH                          ST,,"(34.0479, -118.2612)",34.0479,-118.2612,90017
515,100108816,4/3/10,4/1/10,50,1,Central,162,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,GRAND,9TH,"(34.0444, -118.2593)",34.0444,-118.2593,90014
516,100108821,4/3/10,4/2/10,1900,1,Central,111,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,600 N  HILL                         ST,,"(34.0591, -118.2412)",34.0591,-118.2412,90012
517,100108823,4/3/10,4/3/10,30,1,Central,182,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,FLOWER,OLYMPIC                      BL,"(34.0444, -118.2628)",34.0444,-118.2628,90015
518,100108830,4/3/10,3/31/10,1200,1,Central,159,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,37,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,600    MATEO                        ST,,"(34.0381, -118.2327)",34.0381,-118.2327,90013
519,100108832,4/3/10,4/2/10,2355,1,Central,182,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,25,F,B,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,1100 S  OLIVE                        ST,,"(34.0409, -118.2609)",34.0409,-118.2609,90015
520,100108836,4/4/10,4/4/10,5,1,Central,159,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1400 E  6TH                          ST,,"(34.0381, -118.2327)",34.0381,-118.2327,90013
521,100108848,4/3/10,4/2/10,1230,1,Central,153,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",325,52,M,W,201.0,JEWELRY STORE,,,IC,Invest Cont,341.0,,,,600 S  HILL                         ST,,"(34.0474, -118.2531)",34.0474,-118.2531,90014
522,100108876,4/5/10,4/1/10,1200,1,Central,182,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,1200 S  OLIVE                        ST,,"(34.0395, -118.2622)",34.0395,-118.2622,90015
523,100108891,4/5/10,4/5/10,1620,1,Central,153,510,VEHICLE - STOLEN,906,0,M,H,101.0,STREET,,,IC,Invest Cont,510.0,,,,6TH,SPRING,"(34.0463, -118.2515)",34.0463,-118.2515,90014
524,100108895,4/5/10,3/10/10,200,1,Central,127,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,49,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,956.0,,,,800 W  1ST                          ST,,"(34.0509, -118.2415)",34.0509,-118.2415,90013
525,100108897,4/5/10,4/2/10,800,1,Central,192,888,TRESPASSING,,0,M,W,729.0,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,888.0,,,,1600 S  OLIVE                        ST,,"(34.0352, -118.2654)",34.0352,-118.2654,90015
526,100108903,4/6/10,4/5/10,1100,1,Central,157,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,7TH,TOWNE,"(34.039, -118.2444)",34.039,-118.2444,90013
527,100108904,4/6/10,4/5/10,700,1,Central,176,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,40,F,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,600 E  8TH                          ST,,"(34.0394, -118.2496)",34.0394,-118.2496,90014
528,100108910,4/6/10,4/2/10,1330,1,Central,153,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)",34.0474,-118.2496,90014
529,100108921,4/6/10,1/18/10,830,1,Central,155,946,OTHER MISCELLANEOUS CRIME,,0,M,O,726.0,POLICE FACILITY,,,IC,Invest Cont,946.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
530,100108947,4/6/10,4/6/10,700,1,Central,118,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,,5,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",301.0,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,235.0,,,,1400 N  MAGDALENA                    ST,,"(34.0642, -118.2301)",34.0642,-118.2301,90012
531,100108967,4/6/10,4/5/10,2330,1,Central,159,310,BURGLARY,0344 1609,0,F,A,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,1800    INDUSTRIAL                   ST,,"(34.0359, -118.2344)",34.0359,-118.2344,90021
532,100108980,4/6/10,3/22/10,1000,1,Central,192,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1606,36,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,440.0,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)",34.0395,-118.2656,90015
533,100109008,4/6/10,4/6/10,2210,1,Central,182,946,OTHER MISCELLANEOUS CRIME,1300,0,F,O,108.0,PARKING LOT,,,IC,Invest Cont,946.0,,,,HOPE                         ST,VENICE                       BL,"(34.0363, -118.2677)",34.0363,-118.2677,90015
534,100109015,4/6/10,4/6/10,1835,1,Central,162,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 0344,0,M,B,203.0,OTHER BUSINESS,,,AA,Adult Arrest,440.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
535,100109018,4/7/10,4/6/10,2100,1,Central,162,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,7TH                          ST,FLOWER                       ST,"(34.0487, -118.2588)",34.0487,-118.2588,90071
536,100109019,4/7/10,4/7/10,645,1,Central,155,946,OTHER MISCELLANEOUS CRIME,,0,M,O,203.0,OTHER BUSINESS,,,AA,Adult Arrest,946.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
537,100109045,4/7/10,3/31/10,1600,1,Central,147,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",432,49,M,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,956.0,,,,300 E  5TH                          ST,,"(34.0449, -118.2458)",34.0449,-118.2458,90013
538,100109047,4/7/10,4/7/10,1600,1,Central,162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601 2004,23,F,H,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,341.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
539,100109055,4/7/10,4/7/10,1840,1,Central,162,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 0344,0,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
540,100109060,4/7/10,4/7/10,1700,1,Central,171,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,36,F,B,504.0,OTHER RESIDENCE,511.0,VERBAL THREAT,AO,Adult Other,956.0,,,,800    JAMES M WOOD                 BL,,"(34.0462, -118.2628)",34.0462,-118.2628,90017
541,100109061,4/7/10,4/7/10,2320,1,Central,155,624,BATTERY - SIMPLE ASSAULT,400,38,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,WALL                         ST,6TH                          ST,"(34.0435, -118.2471)",34.0435,-118.2471,90013
542,100109067,4/8/10,2/28/10,525,1,Central,129,946,OTHER MISCELLANEOUS CRIME,,28,F,B,101.0,STREET,,,IC,Invest Cont,946.0,,,,ALAMEDA                      ST,COMMERCIAL                   ST,"(34.0537, -118.2379)",34.0537,-118.2379,90012
543,100109071,4/8/10,4/8/10,500,1,Central,162,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,8TH,GRAND,"(34.0459, -118.2579)",34.0459,-118.2579,90014
544,100109080,4/8/10,3/20/10,100,1,Central,139,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,54,M,H,702.0,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,341.0,,,,900 E  3RD                          ST,,"(34.0459, -118.2351)",34.0459,-118.2351,90013
545,100109081,4/8/10,3/10/10,900,1,Central,122,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0906,0,M,W,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,740.0,,,,100 N  GRAND                        AV,,"(34.0557, -118.2488)",34.0557,-118.2488,90071
546,100109102,4/8/10,4/8/10,2100,1,Central,195,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,19,M,H,702.0,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,740.0,998.0,,,1300    MAPLE                        AV,,"(34.0346, -118.2572)",34.0346,-118.2572,90015
547,100109112,4/9/10,4/8/10,2240,1,Central,171,310,BURGLARY,325,0,M,W,503.0,HOTEL,,,IC,Invest Cont,310.0,,,,900 W  OLYMPIC                      BL,,"(34.0454, -118.2657)",34.0454,-118.2657,90015
548,100109113,4/9/10,3/1/10,600,1,Central,192,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1257,17,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,,,,1800 S  FLOWER                       ST,,"(34.0353, -118.2698)",34.0353,-118.2698,90015
549,100109150,4/9/10,4/7/10,1442,1,Central,129,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0319 0432 0917,45,M,H,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,956.0,,,,700 E  TEMPLE                       ST,,"(34.0502, -118.2336)",34.0502,-118.2336,90013
550,100109151,4/9/10,4/7/10,700,1,Central,124,354,THEFT OF IDENTITY,0344 1212,29,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,200 N  LOS ANGELES                  ST,,"(34.0525, -118.2416)",34.0525,-118.2416,90013
551,100109152,4/9/10,4/9/10,745,1,Central,138,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0345 0416,55,M,H,102.0,SIDEWALK,308.0,STICK,IC,Invest Cont,230.0,,,,500 E  4TH                          ST,,"(34.0449, -118.2415)",34.0449,-118.2415,90013
552,100109167,4/9/10,4/9/10,1940,1,Central,111,350,"THEFT, PERSON",344,24,M,H,128.0,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,350.0,,,,BROADWAY,CESAR E CHAVEZ,"(34.0604, -118.2393)",34.0604,-118.2393,90012
553,100109173,4/9/10,4/9/10,1900,1,Central,191,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,GEORGIA,18TH,"(34.0363, -118.2733)",34.0363,-118.2733,90015
554,100109177,4/9/10,4/9/10,1520,1,Central,152,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0906 1402,0,M,H,738.0,LIBRARY,,,IC,Invest Cont,745.0,998.0,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
555,100109183,4/9/10,4/1/10,2200,1,Central,157,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,29,M,O,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,700 E  7TH                          ST,,"(34.0401, -118.2459)",34.0401,-118.2459,90013
556,100109187,4/10/10,4/9/10,730,1,Central,192,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,41,F,O,406.0,OTHER STORE,,,IC,Invest Cont,341.0,,,,1700 S  HILL                         ST,,"(34.0373, -118.2625)",34.0373,-118.2625,90015
557,100109196,4/9/10,4/9/10,1500,1,Central,164,351,PURSE SNATCHING,0344 0345 0346 0377,37,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,351.0,,,,6TH                          ST,SPRING                       ST,"(34.046, -118.2509)",34.046,-118.2509,90014
558,100109208,4/11/10,4/10/10,1800,1,Central,111,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,28,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,BAMBOO,HILL,"(34.0663, -118.2378)",34.0663,-118.2378,90012
559,100109215,4/11/10,4/9/10,1640,1,Central,152,888,TRESPASSING,1501,0,M,X,503.0,HOTEL,,,IC,Invest Cont,888.0,,,,500 S  FLOWER                       ST,,"(34.0516, -118.2561)",34.0516,-118.2561,90071
560,100109228,4/11/10,4/6/10,950,1,Central,162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0917,28,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,800 S  HILL                         ST,,"(34.0445, -118.2558)",34.0445,-118.2558,90014
561,100109235,4/11/10,4/9/10,1100,1,Central,181,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,38,F,W,713.0,CONVENTION CENTER,,,IC,Invest Cont,341.0,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)",34.0423,-118.2666,90015
562,100109238,4/11/10,4/7/10,800,1,Central,182,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,24,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,700 W  OLYMPIC                      BL,,"(34.0444, -118.2628)",34.0444,-118.2628,90015
563,100109300,4/13/10,4/9/10,930,1,Central,111,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,BROADWAY,COLLEGE,"(34.0646, -118.2372)",34.0646,-118.2372,90012
564,100109305,4/13/10,4/12/10,1000,1,Central,138,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,26,M,O,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,3RD                          ST,SAN PEDRO                    ST,"(34.0467, -118.2411)",34.0467,-118.2411,90013
565,100109320,3/31/10,3/31/10,800,1,Central,124,946,OTHER MISCELLANEOUS CRIME,,0,M,H,101.0,STREET,,,IC,Invest Cont,946.0,,,,100 W  1ST                          ST,,"(34.0522, -118.2434)",34.0522,-118.2434,90013
566,100109324,4/13/10,4/12/10,1400,1,Central,111,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,800    BUNKER HILL                  AV,,"(34.0637, -118.244)",34.0637,-118.244,90012
567,100109348,4/14/10,4/13/10,1900,1,Central,101,210,ROBBERY,0302 0305 0344 0355,46,F,A,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,210.0,,,,1000    ALPINE                       ST,,"(34.0649, -118.2465)",34.0649,-118.2465,90012
568,100109359,4/14/10,4/13/10,2105,1,Central,192,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,19,M,W,701.0,HOSPITAL,,,AO,Adult Other,341.0,,,,1300 S  FLOWER                       ST,,"(34.0401, -118.2668)",34.0401,-118.2668,90015
569,100109370,4/14/10,4/14/10,945,1,Central,195,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601,41,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,200 E  14TH                         ST,,"(34.0347, -118.2602)",34.0347,-118.2602,90015
570,100109397,4/14/10,4/14/10,1045,1,Central,142,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0432 0601,35,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,956.0,,,,300 S  GRAND                        AV,,"(34.053, -118.2513)",34.053,-118.2513,90071
571,100109398,4/14/10,4/13/10,1815,1,Central,192,310,BURGLARY,0344 0601 1607,26,M,A,716.0,THEATRE/MOVIE,,,IC,Invest Cont,310.0,,,,1400 S  GRAND                        AV,,"(34.0372, -118.2654)",34.0372,-118.2654,90015
572,100109412,4/14/10,4/14/10,1840,1,Central,109,860,BATTERY WITH SEXUAL CONTACT,0522 1212,0,M,O,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,BROADWAY,ELYSIAN PARK,"(34.0717, -118.2273)",34.0717,-118.2273,90031
573,100109418,4/14/10,4/14/10,2015,1,Central,101,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,M,H,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,1000 W  SUNSET                       BL,,"(34.0641, -118.248)",34.0641,-118.248,90012
574,100109422,4/15/10,4/15/10,740,1,Central,166,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,43,M,B,101.0,STREET,,,IC,Invest Cont,740.0,,,,WALL                         ST,6TH                          ST,"(34.0435, -118.2471)",34.0435,-118.2471,90013
575,100109454,4/16/10,4/16/10,145,1,Central,101,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1000    FIGUEROA                     TR,,"(34.0683, -118.245)",34.0683,-118.245,90012
576,100109464,4/16/10,4/16/10,900,1,Central,192,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,14TH                         ST,OLIVE,"(34.0366, -118.2643)",34.0366,-118.2643,90015
577,100109465,4/16/10,4/16/10,1000,1,Central,185,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12TH,BROADWAY,"(34.0382, -118.2603)",34.0382,-118.2603,90015
578,100109467,4/15/10,4/14/10,1330,1,Central,134,210,ROBBERY,0342 0337 0344 0355 0354 0432,53,M,H,124.0,BUS STOP,207.0,OTHER KNIFE,IC,Invest Cont,210.0,,,,4TH,SPRING,"(34.0492, -118.2488)",34.0492,-118.2488,90014
579,100109479,4/17/10,3/26/10,1200,1,Central,151,354,THEFT OF IDENTITY,377,42,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,600 S  FIGUEROA                     ST,,"(34.0509, -118.2585)",34.0509,-118.2585,90071
580,100109483,4/16/10,4/16/10,1000,1,Central,152,440,THEFT PLAIN - PETTY ($950 & UNDER),344,0,F,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,440.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
